stock_code,transaction_date,pattern_type,pattern_explanation
600009,20260703,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
600018,20260703,涨停板打开,封板后反复打开，制造换手假象
600025,20260703,压单吸货,卖盘挂大单压制股价，同时低位悄悄吸纳筹码
600076,20260703,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
600127,20260703,大单吸筹,资金大笔挂单买入，短时间内集中扫货
600152,20260703,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
600156,20260703,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
600161,20260703,大单吸筹,资金大笔挂单买入，短时间内集中扫货
600172,20260703,压单吸货,卖盘挂大单压制股价，同时低位悄悄吸纳筹码
600186,20260703,涨停板打开,封板后反复打开，制造换手假象
600203,20260703,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
600208,20260703,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
600293,20260703,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
600303,20260703,盘中诱多,盘中快速拉升吸引跟风后回落
600330,20260703,压单吸货,卖盘挂大单压制股价，同时低位悄悄吸纳筹码
600379,20260703,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
600382,20260703,大单吸筹,资金大笔挂单买入，短时间内集中扫货
600396,20260703,压单吸货,卖盘挂大单压制股价，同时低位悄悄吸纳筹码
600448,20260703,连续小单推升,用大量小单持续买入缓慢推高股价，隐蔽建仓
600479,20260703,日内套利,资金在一定价格区间高频来回高抛低吸
600527,20260703,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
600530,20260703,大单吸筹,资金大笔挂单买入，短时间内集中扫货
600578,20260703,压单吸货,卖盘挂大单压制股价，同时低位悄悄吸纳筹码
600589,20260703,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
600611,20260703,连续小单推升,用大量小单持续买入缓慢推高股价，隐蔽建仓
600676,20260703,集合竞价异动,早盘阶段大幅拉高或压低，影响价格
600719,20260703,大单吸筹,资金大笔挂单买入，短时间内集中扫货
600726,20260703,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
600736,20260703,盘中诱多,盘中快速拉升吸引跟风后回落
600758,20260703,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
600759,20260703,盘中诱多,盘中快速拉升吸引跟风后回落
600768,20260703,连续小单推升,用大量小单持续买入缓慢推高股价，隐蔽建仓
600782,20260703,对倒拉升,通过频繁大单成交制造成交量放大假象，配合拉升
600785,20260703,连续小单推升,用大量小单持续买入缓慢推高股价，隐蔽建仓
600796,20260703,连续小单推升,用大量小单持续买入缓慢推高股价，隐蔽建仓
600857,20260703,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
600866,20260703,连续小单推升,用大量小单持续买入缓慢推高股价，隐蔽建仓
600893,20260703,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
600903,20260703,日内套利,资金在一定价格区间高频来回高抛低吸
600936,20260703,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
601009,20260703,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
601117,20260703,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
601186,20260703,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
601328,20260703,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
601398,20260703,集合竞价异动,早盘阶段大幅拉高或压低，影响价格
601872,20260703,压单吸货,卖盘挂大单压制股价，同时低位悄悄吸纳筹码
601890,20260703,连续小单推升,用大量小单持续买入缓慢推高股价，隐蔽建仓
601939,20260703,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
601991,20260703,压单吸货,卖盘挂大单压制股价，同时低位悄悄吸纳筹码
601999,20260703,连续小单推升,用大量小单持续买入缓慢推高股价，隐蔽建仓
603005,20260703,压单吸货,卖盘挂大单压制股价，同时低位悄悄吸纳筹码
603007,20260703,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
603008,20260703,集合竞价异动,早盘阶段大幅拉高或压低，影响价格
603028,20260703,大单吸筹,资金大笔挂单买入，短时间内集中扫货
603045,20260703,涨停板打开,封板后反复打开，制造换手假象
603075,20260703,日内套利,资金在一定价格区间高频来回高抛低吸
603082,20260703,日内套利,资金在一定价格区间高频来回高抛低吸
603095,20260703,日内套利,资金在一定价格区间高频来回高抛低吸
603118,20260703,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
603248,20260703,日内套利,资金在一定价格区间高频来回高抛低吸
603289,20260703,连续小单推升,用大量小单持续买入缓慢推高股价，隐蔽建仓
603316,20260703,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
603318,20260703,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
603324,20260703,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
603330,20260703,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
603331,20260703,盘中诱多,盘中快速拉升吸引跟风后回落
603344,20260703,日内套利,资金在一定价格区间高频来回高抛低吸
603359,20260703,集合竞价异动,早盘阶段大幅拉高或压低，影响价格
603399,20260703,压单吸货,卖盘挂大单压制股价，同时低位悄悄吸纳筹码
603407,20260703,对倒拉升,通过频繁大单成交制造成交量放大假象，配合拉升
603435,20260703,集合竞价异动,早盘阶段大幅拉高或压低，影响价格
603459,20260703,涨停板打开,封板后反复打开，制造换手假象
603538,20260703,压单吸货,卖盘挂大单压制股价，同时低位悄悄吸纳筹码
603601,20260703,压单吸货,卖盘挂大单压制股价，同时低位悄悄吸纳筹码
603608,20260703,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
603679,20260703,日内套利,资金在一定价格区间高频来回高抛低吸
603686,20260703,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
603700,20260703,日内套利,资金在一定价格区间高频来回高抛低吸
603717,20260703,盘中诱多,盘中快速拉升吸引跟风后回落
603721,20260703,日内套利,资金在一定价格区间高频来回高抛低吸
603773,20260703,对倒拉升,通过频繁大单成交制造成交量放大假象，配合拉升
603779,20260703,盘中诱多,盘中快速拉升吸引跟风后回落
603893,20260703,对倒拉升,通过频繁大单成交制造成交量放大假象，配合拉升
603918,20260703,连续小单推升,用大量小单持续买入缓慢推高股价，隐蔽建仓
603936,20260703,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
603937,20260703,日内套利,资金在一定价格区间高频来回高抛低吸
605006,20260703,日内套利,资金在一定价格区间高频来回高抛低吸
605066,20260703,日内套利,资金在一定价格区间高频来回高抛低吸
605069,20260703,日内套利,资金在一定价格区间高频来回高抛低吸
605162,20260703,连续小单推升,用大量小单持续买入缓慢推高股价，隐蔽建仓
605287,20260703,日内套利,资金在一定价格区间高频来回高抛低吸
605299,20260703,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
605366,20260703,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
605389,20260703,日内套利,资金在一定价格区间高频来回高抛低吸
688008,20260703,涨停板打开,封板后反复打开，制造换手假象
688082,20260703,涨停板打开,封板后反复打开，制造换手假象
688169,20260703,对倒拉升,通过频繁大单成交制造成交量放大假象，配合拉升
688496,20260703,集合竞价异动,早盘阶段大幅拉高或压低，影响价格
688509,20260703,对倒拉升,通过频繁大单成交制造成交量放大假象，配合拉升
688560,20260703,日内套利,资金在一定价格区间高频来回高抛低吸
