stock_code,transaction_date,capital_type,capital_intention
603316,20260630,散户,买入
600396,20260630,散户,买入
603459,20260630,散户,T0交易
603773,20260630,量化,卖出
603007,20260630,量化,买入
600152,20260630,游资,T0交易
600156,20260630,量化,买入
600530,20260630,散户,T0交易
605006,20260630,量化,T0交易
600379,20260630,游资,买入
603779,20260630,量化,卖出
600936,20260630,游资,卖出
600208,20260630,游资,T0交易
600719,20260630,散户,T0交易
600726,20260630,量化,买入
600172,20260630,散户,卖出
605287,20260630,游资,买入
603407,20260630,游资,买入
600758,20260630,游资,买入
603344,20260630,散户,卖出
603318,20260630,游资,买入
600589,20260630,量化,T0交易
603095,20260630,量化,卖出
600578,20260630,散户,买入
603248,20260630,游资,买入
600611,20260630,量化,买入
603608,20260630,量化,买入
600676,20260630,量化,买入
603601,20260630,散户,卖出
603538,20260630,游资,T0交易
600903,20260630,游资,T0交易
603435,20260630,游资,T0交易
600736,20260630,游资,T0交易
603399,20260630,量化,T0交易
600857,20260630,量化,买入
600076,20260630,散户,买入
603330,20260630,量化,T0交易
600382,20260630,散户,T0交易
603082,20260630,散户,T0交易
605389,20260630,游资,买入
605366,20260630,游资,买入
605299,20260630,游资,卖出
600186,20260630,游资,T0交易
605162,20260630,游资,卖出
605069,20260630,量化,T0交易
603045,20260630,散户,T0交易
600303,20260630,游资,卖出
603717,20260630,散户,买入
600330,20260630,量化,买入
603005,20260630,量化,T0交易
603721,20260630,量化,卖出
601991,20260630,游资,T0交易
603324,20260630,游资,卖出
603937,20260630,游资,T0交易
688496,20260630,量化,T0交易
603008,20260630,游资,T0交易
601890,20260630,散户,卖出
688509,20260630,量化,T0交易
605066,20260630,散户,T0交易
600203,20260630,散户,卖出
603918,20260630,游资,卖出
603679,20260630,量化,买入
600293,20260630,散户,卖出
600527,20260630,量化,卖出
603936,20260630,散户,买入
603289,20260630,量化,卖出
600127,20260630,量化,买入
600448,20260630,散户,卖出
600479,20260630,散户,买入
600759,20260630,量化,T0交易
600768,20260630,游资,卖出
600782,20260630,游资,T0交易
600785,20260630,游资,T0交易
600796,20260630,散户,买入
600866,20260630,游资,买入
601999,20260630,游资,买入
603028,20260630,游资,卖出
603075,20260630,量化,买入
603118,20260630,量化,买入
603331,20260630,游资,卖出
603359,20260630,游资,T0交易
603686,20260630,散户,买入
603700,20260630,散户,买入
688560,20260630,量化,T0交易
600161,20260630,量化,买入
601117,20260630,量化,T0交易
600009,20260630,散户,T0交易
603893,20260630,量化,卖出
601186,20260630,量化,卖出
600893,20260630,量化,买入
688082,20260630,量化,买入
601009,20260630,游资,T0交易
600025,20260630,游资,卖出
688008,20260630,散户,T0交易
601328,20260630,散户,卖出
601939,20260630,游资,卖出
688169,20260630,游资,T0交易
601872,20260630,游资,卖出
601398,20260630,量化,买入
600018,20260630,散户,T0交易
