stock_code,transaction_date,pattern_type,pattern_explanation
603316,20260630,日内套利,资金在一定价格区间来回高抛低吸赚取日内价差
600396,20260630,对倒拉升,通过自买自卖制造成交量放大假象吸引跟风盘
603459,20260630,大单吸筹,资金大笔挂单买入短时间内集中扫货
603773,20260630,散户博弈,成交以小单为主且方向混乱呈现典型散户博弈特征
603007,20260630,日内套利,资金在一定价格区间来回高抛低吸赚取日内价差
600152,20260630,尾盘突袭,尾盘最后15分钟突然放量拉升或砸盘制造强势形态
600156,20260630,尾盘突袭,尾盘最后15分钟突然放量拉升或砸盘制造强势形态
600530,20260630,散户博弈,成交以小单为主且方向混乱呈现典型散户博弈特征
605006,20260630,日内套利,资金在一定价格区间来回高抛低吸赚取日内价差
600379,20260630,对倒拉升,通过自买自卖制造成交量放大假象吸引跟风盘
603779,20260630,尾盘突袭,尾盘最后15分钟突然放量拉升或砸盘制造强势形态
600936,20260630,日内套利,资金在一定价格区间来回高抛低吸赚取日内价差
600208,20260630,量化高频,程序化拆单后快速买入卖出单次持仓不超过数分钟
600719,20260630,压单吸货,在卖盘挂大单压制股价同时在低位悄悄吸纳筹码
600726,20260630,散户博弈,成交以小单为主且方向混乱呈现典型散户博弈特征
600172,20260630,大单吸筹,资金大笔挂单买入短时间内集中扫货
605287,20260630,日内套利,资金在一定价格区间来回高抛低吸赚取日内价差
603407,20260630,日内套利,资金在一定价格区间来回高抛低吸赚取日内价差
600758,20260630,压单吸货,在卖盘挂大单压制股价同时在低位悄悄吸纳筹码
603344,20260630,量化高频,程序化拆单后快速买入卖出单次持仓不超过数分钟
603318,20260630,量化高频,程序化拆单后快速买入卖出单次持仓不超过数分钟
600589,20260630,散户博弈,成交以小单为主且方向混乱呈现典型散户博弈特征
603095,20260630,尾盘突袭,尾盘最后15分钟突然放量拉升或砸盘制造强势形态
600578,20260630,对倒拉升,通过自买自卖制造成交量放大假象吸引跟风盘
603248,20260630,连续小单推升,用大量小单持续买入缓慢推高股价避免引起注意
600611,20260630,压单吸货,在卖盘挂大单压制股价同时在低位悄悄吸纳筹码
603608,20260630,日内套利,资金在一定价格区间来回高抛低吸赚取日内价差
600676,20260630,对倒拉升,通过自买自卖制造成交量放大假象吸引跟风盘
603601,20260630,日内套利,资金在一定价格区间来回高抛低吸赚取日内价差
