stock_code,transaction_date,pattern_type,pattern_explanation
600009,20260706,大单吸筹,资金大笔挂单买入，短时间内集中扫货
600018,20260706,大单吸筹,资金大笔挂单买入，短时间内集中扫货
600025,20260706,大单吸筹,资金大笔挂单买入，短时间内集中扫货
600076,20260706,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
600127,20260706,盘中诱多,盘中快速拉升吸引跟风后回落
600152,20260706,日内套利,资金在一定价格区间高频来回高抛低吸
600156,20260706,大单吸筹,资金大笔挂单买入，短时间内集中扫货
600161,20260706,日内套利,资金在一定价格区间高频来回高抛低吸
600172,20260706,对倒拉升,通过频繁大单成交制造成交量放大假象，配合拉升
600186,20260706,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
600203,20260706,集合竞价异动,早盘阶段大幅拉高或压低，影响价格
600208,20260706,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
600293,20260706,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
600303,20260706,大单吸筹,资金大笔挂单买入，短时间内集中扫货
600330,20260706,压单吸货,卖盘挂大单压制股价，同时低位悄悄吸纳筹码
600379,20260706,压单吸货,卖盘挂大单压制股价，同时低位悄悄吸纳筹码
600382,20260706,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
600396,20260706,压单吸货,卖盘挂大单压制股价，同时低位悄悄吸纳筹码
600448,20260706,连续小单推升,用大量小单持续买入缓慢推高股价，隐蔽建仓
600479,20260706,盘中诱多,盘中快速拉升吸引跟风后回落
600527,20260706,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
600530,20260706,压单吸货,卖盘挂大单压制股价，同时低位悄悄吸纳筹码
600578,20260706,压单吸货,卖盘挂大单压制股价，同时低位悄悄吸纳筹码
600589,20260706,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
600611,20260706,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
600676,20260706,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
600719,20260706,日内套利,资金在一定价格区间高频来回高抛低吸
600726,20260706,压单吸货,卖盘挂大单压制股价，同时低位悄悄吸纳筹码
600736,20260706,集合竞价异动,早盘阶段大幅拉高或压低，影响价格
600758,20260706,连续小单推升,用大量小单持续买入缓慢推高股价，隐蔽建仓
600759,20260706,大单吸筹,资金大笔挂单买入，短时间内集中扫货
600768,20260706,涨停板打开,封板后反复打开，制造换手假象
600782,20260706,盘中诱多,盘中快速拉升吸引跟风后回落
600785,20260706,日内套利,资金在一定价格区间高频来回高抛低吸
600796,20260706,尾盘突袭,尾盘集中放量拉升或砸盘，制造典型技术形态
600857,20260706,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
