stock_code,transaction_date,capital_type,capital_intention
600009,20260703,量化,T0交易
600018,20260703,量化,T0交易
600025,20260703,散户,T0交易
600076,20260703,游资,卖出
600127,20260703,游资,买入
600152,20260703,散户,T0交易
600156,20260703,散户,买入
600161,20260703,散户,买入
600172,20260703,量化,卖出
600186,20260703,散户,T0交易
600203,20260703,量化,买入
600208,20260703,游资,T0交易
600293,20260703,量化,卖出
600303,20260703,散户,买入
600330,20260703,量化,卖出
600379,20260703,散户,买入
600382,20260703,游资,买入
600396,20260703,量化,T0交易
600448,20260703,散户,买入
600479,20260703,散户,卖出
600527,20260703,量化,T0交易
600530,20260703,游资,买入
600578,20260703,量化,T0交易
600589,20260703,散户,卖出
600611,20260703,游资,买入
600676,20260703,游资,卖出
600719,20260703,游资,T0交易
600726,20260703,散户,T0交易
600736,20260703,量化,买入
600758,20260703,量化,T0交易
600759,20260703,量化,买入
600768,20260703,散户,买入
600782,20260703,游资,T0交易
600785,20260703,游资,买入
600796,20260703,散户,买入
600857,20260703,游资,T0交易
600866,20260703,游资,买入
600893,20260703,游资,买入
600903,20260703,散户,T0交易
600936,20260703,散户,买入
601009,20260703,散户,T0交易
601117,20260703,游资,T0交易
601186,20260703,散户,T0交易
601328,20260703,游资,T0交易
601398,20260703,游资,买入
601872,20260703,游资,卖出
601890,20260703,游资,买入
601939,20260703,散户,卖出
601991,20260703,量化,买入
601999,20260703,散户,买入
603005,20260703,量化,卖出
603007,20260703,游资,买入
603008,20260703,游资,卖出
603028,20260703,游资,买入
603045,20260703,游资,买入
603075,20260703,散户,T0交易
603082,20260703,量化,T0交易
603095,20260703,散户,买入
603118,20260703,散户,T0交易
603248,20260703,量化,买入
603289,20260703,散户,买入
603316,20260703,量化,卖出
603318,20260703,散户,T0交易
603324,20260703,游资,T0交易
603330,20260703,散户,卖出
603331,20260703,游资,T0交易
603344,20260703,散户,T0交易
603359,20260703,游资,买入
603399,20260703,散户,卖出
603407,20260703,散户,T0交易
603435,20260703,散户,卖出
603459,20260703,散户,T0交易
603538,20260703,散户,卖出
603601,20260703,散户,买入
603608,20260703,游资,T0交易
603679,20260703,散户,T0交易
603686,20260703,散户,买入
603700,20260703,量化,T0交易
603717,20260703,游资,买入
603721,20260703,散户,T0交易
603773,20260703,散户,T0交易
603779,20260703,游资,买入
603893,20260703,散户,买入
603918,20260703,游资,买入
603936,20260703,量化,卖出
603937,20260703,游资,买入
605006,20260703,量化,T0交易
605066,20260703,量化,卖出
605069,20260703,散户,T0交易
605162,20260703,散户,买入
605287,20260703,游资,买入
605299,20260703,散户,买入
605366,20260703,散户,卖出
605389,20260703,量化,买入
688008,20260703,量化,买入
688082,20260703,量化,买入
688169,20260703,量化,买入
688496,20260703,量化,卖出
688509,20260703,游资,T0交易
688560,20260703,散户,买入
